"Loan reference","Outstanding Scheme Facility Principal2","Outstanding Scheme Facility Principal","Total amount claimed under the Government Guarantee2","Total amount claimed from the DTI","Settled Amount2","Settled Amount","Cumulative Value of All Pre-Claim Limit Realisations2","Cumulative Value of All Pre-Claim Limit Realisations","Cumulative Value of All Post-Claim Limit Realisations2","Cumulative Value of All Post-Claim Limit Realisations"
"NW6PJVN+01",17712.12,17712.12,13284.09,13284.09,13284.09,0,0,0,0,0
"37V4VEF+01",17812.54,17812.54,13359.41,13359.41,13359.41,0,0,0,0,0
"YAFK2CQ+01",18016.71,18016.71,13512.53,13512.53,13512.53,0,0,0,0,0
"3ZG83WQ+01",18053.96,18053.96,13540.47,13540.47,13540.47,0,0,0,0,0
"RNGWTYS+01",18110.31,18110.31,13582.73,13582.73,13582.73,0,13582.73,13582.73,0,0
"79GTZG6+01",18159.45,18159.45,13619.59,13619.59,13619.59,0,0,0,0,0
"8SML4TP+01",18230.25,18230.25,13672.69,13672.69,13672.69,0,0,0,0,0
"JT2KSST+01",18500.06,18500.06,13875.05,13875.05,13875.05,0,0,0,0,0
"DFMFHE7+01",18666.72,18666.72,14000.04,14000.04,14000.04,0,0,0,0,0
"ESTM6CV+01",19044.35,19044.35,14283.26,14283.26,14283.26,14283.26,0,0,0,0
"ZL3C87J+01",19333.44,19333.44,14500.08,14500.08,14500.08,0,0,0,0,0
"9M3S38H+01",19444.48,19444.48,14583.36,14583.36,14583.36,0,0,0,0,0
"9K2LNCG+01",19568.3,19568.3,14676.23,14676.23,14676.23,0,0,0,0,0
"JAUXTKA+01",19599.4,19599.4,14699.55,14699.55,14699.55,14699.55,0,0,0,0
"VP2V3WG+01",19770.42,19770.42,14827.81,14827.81,14827.81,0,0,0,0,0
"F5C4Q7U+01",19926.05,19926.05,14944.54,14944.54,14944.54,0,0,0,0,0
"9MDKE6B+01",20000,20000,15000,15000,15000,0,0,0,0,0
"BXCRR7K+01",20000.02,20000.02,15000.02,15000.02,15000.02,0,0,0,0,0
