"Loan reference","Outstanding Scheme Facility Principal2","Outstanding Scheme Facility Principal","Total amount claimed under the Government Guarantee2","Total amount claimed from the DTI","Settled Amount2","Settled Amount","Cumulative Value of All Pre-Claim Limit Realisations2","Cumulative Value of All Pre-Claim Limit Realisations","Cumulative Value of All Post-Claim Limit Realisations2","Cumulative Value of All Post-Claim Limit Realisations"
"ATZ2JUV+01",44000,44000,33000,33000,33000,0,0,0,0,0
"X3FU5QF+01",44166.69,44166.69,33125.02,33125.02,33125.02,0,0,0,0,0
"MJEQ653+01",44228.63,44228.63,33171.47,33171.47,33171.47,33171.47,0,0,0,0
"EH7FCJP+01",44304.1,44304.1,33228.07,33228.07,33228.07,33228.07,0,0,0,0
"53P66Z6+01",44444.5,44444.5,33333.37,33333.37,33333.37,33333.37,0,0,0,0
"WBAN4XZ+01",44662.21,44662.21,33496.65,33496.65,33496.65,33496.65,0,0,0,0
"H834BMF+01",44939.7,44939.7,33704.77,33704.77,33704.77,0,0,0,0,0
"VBG6AY7+01",45000,45000,33750,33750,33750,0,0,0,0,0
"7ZYVQK9+01",45000.05,45000.05,33750.03,33750.03,33750.03,33750.03,0,0,0,0
"Z659FUP+01",45073.49,45073.49,33805.12,33805.12,33805.12,0,0,0,0,0
"MPXQDAY+01",45740.72,45740.72,34305.54,34305.54,34305.54,0,0,0,0,0
"KH73MTL+01",45833.34,45833.34,34375,34375,34375,0,0,0,0,0
"WFUEKXC+01",45833.4,45833.4,34375.05,34375.05,34375.05,0,0,0,0,0
"XKW8TT4+01",46320.55,46320.55,34740.41,34740.41,34740.41,0,4875,4875,0,0
"UX3847X+01",46381.34,46381.34,34786.01,34786.01,34786.01,0,0,0,0,0
"SMZ66A8+01",46666.72,46666.72,35000.04,35000.04,35000.04,0,0,0,0,0
"933H29Y+01",47000,47000,35250,35250,35250,0,0,0,0,0
"FTSVS5L+01",47000,47000,35250,35250,35250,0,0,0,0,0
"M79NG3B+01",47126.8,47126.8,35345.1,35345.1,35345.1,0,0,0,0,0
"3LWYHBB+01",47262.85,47262.85,35447.14,35447.14,35447.14,0,0,0,0,0
"V2EP29L+01",47377.85,47377.85,35533.39,35533.39,35533.39,0,0,0,0,0
"XXYRST4+01",47495.96,47495.96,35621.97,35621.97,35621.97,0,0,0,0,0
"M7MJ26Z+01",47528.35,47528.35,35646.26,35646.26,35646.26,35646.26,0,0,0,0
"UJJVPH8+01",47600,47600,35700,35700,35700,35700,0,0,0,0
"U2H4ZAH+01",47648.12,47648.12,35736.09,35736.09,35736.09,0,0,0,0,0
"H2JMAL7+01",47700,47700,35775,35775,35775,0,0,0,0,0
"X4HPSM5+01",48516,48516,36387,36387,36387,0,0,0,0,0
"ELE4SCS+01",48546.3,48546.3,36409.73,36409.73,36409.73,0,0,0,0,0
"QGEU88T+01",49000,49000,36750,36750,36750,36750,0,0,0,0
"8RFZUQT+01",49434.1,49434.1,37075.58,37075.58,37075.58,0,0,0,0,0
"TBZJYHG+01",49808.39,49808.39,37356.29,37356.29,37356.29,0,0,0,0,0
"TAM4UYM+01",50000,50000,37500,37500,37500,0,0,0,0,0
"P484B47+01",50000,50000,37500,37500,37500,0,0,0,0,0
"MQKB3JP+01",50000,50000,37500,37500,37500,0,0,0,0,0
"JNC5RG7+01",50156.57,50156.57,37617.42,37617.42,37617.42,37617.42,0,0,0,0
"PTPZELN+01",50525,50525,37893.75,37893.75,37893.75,37893.75,0,0,0,0
"D5B8LT5+01",50580.5,50580.5,37935.38,37935.38,37935.38,0,0,0,0,0
"74GZN5H+01",50665.38,50665.38,37999.03,37999.03,37999.03,0,0,0,0,0
"VDEP7FD+01",50708.88,50708.88,38031.66,38031.66,38031.66,0,0,0,0,0
"KJS4R37+01",50833.4,50833.4,38125.05,38125.05,38125.05,0,0,0,0,0
"V4N3KUJ+01",50909.1,50909.1,38181.83,38181.83,38181.83,0,0,0,0,0
"Q2LGPUP+01",50985,50985,38238.75,38238.75,38238.75,0,0,0,0,0
"S6S3SF5+01",50988.2,50988.2,38241.15,38241.15,38241.15,0,0,0,0,0
"5PJKEB7+01",51473.16,51473.16,38604.87,38604.87,38604.87,0,0,0,0,0
"MZ9EGEK+01",51790.06,51790.06,38842.55,38842.55,38842.55,0,0,0,0,0
"T9D634D+01",51899.2,51899.2,38924.4,38924.4,38924.4,0,0,0,0,0
"5V6RSQ2+01",51944.55,51944.55,38958.41,38958.41,38958.41,38958.41,0,0,0,0
"5ZZKJDV+01",52000,52000,39000,39000,39000,0,0,0,0,0
"349RWJK+01",52060.75,52060.75,39045.56,39045.56,39045.56,39045.56,0,0,0,0
"BF5FN5Q+01",52483.42,52483.42,39362.56,39362.56,39362.56,39362.56,0,0,0,0
"5DLZSBV+01",52500,52500,39375,39375,39375,39375,0,0,0,0
"N7T2ZMU+01",52500.97,52500.97,39375.72,39375.72,39375.72,0,0,0,0,0
"BCDXLPH+01",52777.09,52777.09,39582.81,39582.81,39582.81,39582.81,0,0,0,0
"HM3CMYV+01",52784.32,52784.32,39588.24,39588.24,39588.24,39588.24,0,0,0,0
"ZR5FKP8+01",52813.64,52813.64,39610.23,39610.23,39610.23,0,0,0,0,0
"URKGZR4+01",53000,53000,39750,39750,39750,0,0,0,0,0
"MEH87SW+01",53282.72,53282.72,39962.04,39962.04,39962.04,0,0,0,0,0
"SP44FFU+01",53375,53375,40031.25,40031.25,40031.25,0,0,0,0,0
"SD5LHLV+01",53513.24,53513.24,40134.93,40134.93,40134.93,0,0,0,0,0
"LKKMYVZ+01",53552.48,53552.48,40164.36,40164.36,40164.36,40164.36,0,0,0,0
"Z49DBYW+01",54000,54000,40500,40500,40500,0,0,0,0,0
"H6QGM5W+01",54016.76,54016.76,40512.57,40512.57,40512.57,0,0,0,0,0
"67L3XH6+01",54107.13,54107.13,40580.35,40580.35,40580.35,0,0,0,0,0
"ZKWRGW9+01",54166.74,54166.74,40625.06,40625.06,40625.06,0,0,0,0,0
"VKCC5N6+01",54500,54500,40875,40875,40875,0,0,0,0,0
"CTQG8PX+01",54747.5,54747.5,41060.63,41060.63,41060.63,0,0,0,0,0
"8M3FTZU+01",54998.16,54998.16,41248.62,41248.62,41248.62,0,0,0,0,0
"97RKTAM+01",55000,55000,41250,41250,41250,41250,0,0,0,0
"L6DGK9R+01",55305.48,55305.48,41479.11,41479.11,41479.11,41479.11,0,0,0,0
"AEZHEUH+01",55333.44,55333.44,41500.08,41500.08,41500.08,0,0,0,0,0
"C49U8JS+01",55477.48,55477.48,41608.11,41608.11,41608.11,0,0,0,0,0
"UAWWWF6+01",55500,55500,41625,41625,41625,41625,0,0,0,0
"MMM36UW+01",55882.39,55882.39,41911.79,41911.79,41911.79,41911.79,0,0,0,0
"Q98SD7Y+01",56000,56000,42000,42000,42000,0,0,0,0,0
"R6J9FU4+01",56153.74,56153.74,42115.31,42115.31,42115.31,0,0,0,0,0
"GU8RP5E+01",56666.74,56666.74,42500.06,42500.06,42500.06,0,0,0,0,0
"NR9W35A+01",56684.17,56684.17,42513.12,42513.12,42513.12,0,0,0,0,0
"FE5ZUWS+01",56980.04,56980.04,42735.03,42735.03,42735.03,0,0,0,0,0
"F67H6YA+01",57037,57037,42777.75,42777.75,42777.75,42777.75,0,0,0,0
"VXE5PE6+01",57166.74,57166.74,42875.05,42875.05,42875.05,0,0,0,0,0
"PHT9UDZ+01",57482.18,57482.18,43111.64,43111.64,43111.64,0,0,0,0,0
"NYG5ZR8+01",57727.27,57727.27,43295.45,43295.45,43295.45,43295.45,0,0,0,0
"8NLASQQ+01",58000,58000,43500,43500,43500,0,0,0,0,0
"R3AGDUJ+01",58000,58000,43500,43500,43500,0,0,0,0,0
"H4KKRYG+01",58167.12,58167.12,43625.34,43625.34,43625.34,0,0,0,0,0
"BBQ3FCK+01",58211.57,58211.57,43658.68,43658.68,43658.68,0,0,0,0,0
"CCP6U8E+01",58235.76,58235.76,43676.82,43676.82,43676.82,0,0,0,0,0
"N7BHT6T+01",58333.36,58333.36,43750.02,43750.02,43750.02,43750.02,0,0,0,0
"58E7QE2+01",58500,58500,43875,43875,43875,43875,0,0,0,0
"MJ5KKST+01",58739.45,58739.45,44054.58,44054.58,44054.58,44054.58,0,0,0,0
"8NU8GY3+01",58906.31,58906.31,44179.73,44179.73,44179.73,0,0,0,0,0
"R9ULT9N+01",59217.37,59217.37,44413.03,44413.03,44413.03,0,0,0,0,0
"N52EYM4+01",59354.2,59354.2,44515.65,44515.65,44515.65,0,0,0,0,0
"CANBAWG+01",83333.36,83333.36,62500.02,62500.02,44691.13,44691.13,0,0,0,0
"KZXAZDT+01",60000,60000,45000,45000,45000,0,0,0,0,0
"T9SJGGC+01",60000,60000,45000,45000,45000,0,0,0,0,0
"6RSYSWL+01",60666.72,60666.72,45500.04,45500.04,45500.04,45500.04,0,0,0,0
"VJG6AWC+01",60745.73,60745.73,45559.3,45559.3,45559.3,0,0,0,0,0
"GZ5ZMCD+01",61111.22,61111.22,45833.42,45833.42,45833.42,0,916.43,916.43,0,0
"9HWFEPC+01",61567.96,61567.96,46175.97,46175.97,46175.97,0,0,0,0,0
"46XE7K5+01",61637.36,61637.36,46228.02,46228.02,46228.02,0,0,0,0,0
"MYMKEJT+01",61716.76,61716.76,46287.57,46287.57,46287.57,0,0,0,0,0
"B27FYRQ+01",61750.04,61750.04,46312.53,46312.53,46312.53,0,0,0,0,0
"F9QEJ8Z+01",62205.19,62205.19,46653.89,46653.89,46653.89,0,0,0,0,0
"ERG7P79+01",62416.71,62416.71,46812.53,46812.53,46812.53,0,0,0,0,0
"RQR4SU6+01",62500,62500,46875,46875,46875,0,0,0,0,0
"PVU2Z58+01",62500,62500,46875,46875,46875,46875,0,0,0,0
"MYU2KDB+01",62533.36,62533.36,46900.02,46900.02,46900.02,0,0,0,0,0
"47CHB2N+01",63625,63625,47718.75,47718.75,47718.75,0,0,0,0,0
"RVG4S2Y+01",64266.77,64266.77,48200.08,48200.08,48200.08,0,0,0,0,0
"BTYE5DV+01",64888.96,64888.96,48666.72,48666.72,48666.72,0,0,0,0,0
"TMSZU9W+01",64901.28,64901.28,48675.96,48675.96,48675.96,0,0,0,0,0
"PVRSG2F+01",65000,65000,48750,48750,48750,0,0,0,0,0
"RVJBREU+01",65289.59,65289.59,48967.19,48967.19,48967.19,0,0,0,0,0
"RJV3G6P+01",65594.22,65594.22,49195.66,49195.66,49195.66,49195.66,0,0,0,0
"WCGXS59+01",66006.8,66006.8,49505.1,49505.1,49505.1,0,0,0,0,0
"P9CTMN9+01",66096.36,66096.36,49572.27,49572.27,49572.27,0,0,0,0,0
"K57FVXP+01",66118.84,66118.84,49589.13,49589.13,49589.13,0,0,0,0,0
"HQCTXLC+01",66664,66664,49998,49998,49998,0,0,0,0,0
"MGQSDFG+01",66666.7,66666.7,50000.03,50000.03,50000.03,0,0,0,0,0
"JBBS8B7+01",66666.72,66666.72,50000.04,50000.04,50000.04,0,0,0,0,0
"6Z5GUWY+01",66875,66875,50156.25,50156.25,50156.25,0,0,0,0,0
"ZHXSPHK+01",67033.44,67033.44,50275.08,50275.08,50275.08,0,0,0,0,0
"P6Q83YN+01",67325.01,67325.01,50493.76,50493.76,50493.76,0,0,0,0,0
"YDWBPLY+01",68003,68003,51002.25,51002.25,51002.25,0,0,0,0,0
"8YNT93B+01",68091.59,68091.59,51068.69,51068.69,51068.69,0,0,0,0,0
"6BPVYT6+01",68708.41,68708.41,51531.3,51531.3,51531.3,51531.3,0,0,0,0
"JBWTTFN+01",69000,69000,51750,51750,51750,0,0,0,0,0
"AKK3K6G+01",69102.56,69102.56,51826.92,51826.92,51826.92,51826.92,0,0,0,0
"WZHP3BT+01",69167.6,69167.6,51875.7,51875.7,51875.7,0,0,0,0,0
"W3Y8J6N+01",69273.76,69273.76,51955.32,51955.32,51955.32,0,0,0,0,0
"SM2Z4Q6+01",69307.76,69307.76,51980.82,51980.82,51980.82,0,0,0,0,0
"6XWRZYP+01",69513.89,69513.89,52135.41,52135.41,52135.41,52135.41,0,0,0,0
"3Z6XLDP+01",69523.82,69523.82,52142.87,52142.87,52142.87,0,0,0,0,0
"UG2CE8W+01",69730,69730,52297.5,52297.5,52297.5,0,0,0,0,0
"KAY5ZGF+01",69750.04,69750.04,52312.53,52312.53,52312.53,0,0,0,0,0
"9LQ3UCN+01",70000,70000,52500,52500,52500,0,0,0,0,0
"63FGYUU+01",70000,70000,52500,52500,52500,0,0,0,0,0
"VV26VHA+01",70591.32,70591.32,52943.49,52943.49,52943.49,0,0,0,0,0
"PQQEQTP+01",70618,70618,52963.5,52963.5,52963.5,0,0,0,0,0
"68ECBQ9+01",71250,71250,53437.5,53437.5,53437.5,0,0,0,0,0
"S8DRJMP+01",71666.78,71666.78,53750.09,53750.09,53750.09,0,0,0,0,0
"BL99L7H+01",72000,72000,54000,54000,54000,0,0,0,0,0
"JX5N2QQ+01",72684.52,72684.52,54513.39,54513.39,54513.39,0,0,0,0,0
"XFE8LBH+01",73333.3,73333.3,54999.98,54999.98,54999.98,0,0,0,0,0
"T6Z2DKA+01",73879.64,73879.64,55409.73,55409.73,55409.73,0,0,0,0,0
"UBT4WLL+01",75000,75000,56250,56250,56250,0,0,0,0,0
"AYAQ2SH+01",75000,75000,56250,56250,56250,0,0,0,0,0
"PARVZWX+01",75000,75000,56250,56250,56250,0,0,0,0,0
"3SWJTVR+01",75000.08,75000.08,56250.06,56250.06,56250.06,56250.06,0,0,0,0
"2NL9C8Q+01",75700,75700,56775,56775,56775,0,0,0,0,0
"K3SJ5NJ+01",76039.96,76039.96,57029.97,57029.97,57029.97,0,0,0,0,0
"RY5VL48+01",76124.1,76124.1,57093.08,57093.08,57093.08,0,0,0,0,0
"G3GX936+01",76640.88,76640.88,57480.66,57480.66,57480.66,0,0,0,0,0
"9D44LEA+01",77050.85,77050.85,57788.13,57788.13,57788.13,0,0,0,0,0
"7PLSVNN+01",77083.37,77083.37,57812.52,57812.52,57812.52,0,0,0,0,0
"7FEGFVK+01",77133.44,77133.44,57850.08,57850.08,57850.08,0,0,0,0,0
"RBVCZED+01",77333.36,77333.36,58000.02,58000.02,58000.02,0,0,0,0,0
"LSLJL7W+01",77675.9,77675.9,58256.92,58256.92,58256.92,0,0,0,0,0
"EF7VRBV+01",77844.55,77844.55,58383.41,58383.41,58383.41,58383.41,0,0,0,0
"GZ5NLJC+01",78000,78000,58500,58500,58500,0,0,0,0,0
"XG26HA6+01",78400,78400,58800,58800,58800,0,0,0,0,0
"7F7UP6W+01",78437.86,78437.86,58828.4,58828.4,58828.4,0,0,0,0,0
"HK9H2YZ+01",78666.67,78666.67,59000,59000,59000,0,0,0,0,0
"XXHTZ52+01",79333.36,79333.36,59500.02,59500.02,59500.02,0,0,0,0,0
"PL8DT33+01",79400,79400,59550,59550,59550,59550,0,0,0,0
"CBUVYA5+01",79507.91,79507.91,59630.93,59630.93,59630.93,0,0,0,0,0
"ZHAA29S+01",79650.01,79650.01,59737.51,59737.51,59737.51,0,0,0,0,0
"CTWBTUQ+01",79983.4,79983.4,59987.55,59987.55,59987.55,0,11844.06,11844.06,0,0
"QDVDBK9+01",80000.04,80000.04,60000.03,60000.03,60000.03,60000.03,0,0,0,0
"LW4DV98+01",80552.17,80552.17,60414.13,60414.13,60414.13,0,0,0,0,0
"NTGW95S+01",80642.95,80642.95,60482.21,60482.21,60482.21,60482.21,0,0,0,0
"GRPK8CP+01",80752,80752,60564,60564,60564,0,0,0,0,0
"N7NXA6X+01",81250.06,81250.06,60937.54,60937.54,60937.54,60937.54,0,0,0,0
"XH963QU+01",81958.38,81958.38,61468.79,61468.79,61468.79,0,0,0,0,0
"Z2VEBVA+01",82395.3,82395.3,61796.48,61796.48,61796.48,0,0,0,0,0
"NXTXR6F+01",83325.02,83325.02,62493.77,62493.77,62493.77,0,0,0,0,0
"YBPMSSS+01",83333.4,83333.4,62500.05,62500.05,62500.05,0,0,0,0,0
"HBT26EQ+01",83666.69,83666.69,62750.02,62750.02,62750.02,0,0,0,0,0
"JW9CUFA+01",84266.72,84266.72,63200.04,63200.04,63200.04,0,0,0,16880.31,16880.31
"ZQRDYK7+01",84446,84446,63334.5,63334.5,63334.5,0,0,0,0,0
"49N7BPT+01",84523.89,84523.89,63392.92,63392.92,63392.92,0,0,0,0,0
"LB96AYV+01",84610,84610,63457.5,63457.5,63457.5,0,0,0,0,0
"WADJPN5+01",85584.9,85584.9,64188.67,64188.67,64188.67,0,0,0,0,0
"HUSXBLC+01",85800,85800,64350,64350,64350,0,0,0,0,0
"77KNWT7+01",85857.38,85857.38,64393.04,64393.04,64393.04,0,0,0,0,0
"UP649J4+01",86274.54,86274.54,64705.9,64705.9,64705.9,0,0,0,0,0
"WEZZETP+01",86304.07,86304.07,64728.05,64728.05,64728.05,0,0,0,0,0
"E7R6V7L+01",86666.8,86666.8,65000.1,65000.1,65000.1,0,0,0,0,0
"7F7KFYH+01",86732,86732,65049,65049,65049,0,0,0,0,0
"FSXFSMP+01",87083.35,87083.35,65312.51,65312.51,65312.51,0,0,0,0,0
"6GX2HE3+01",87135.89,87135.89,65351.91,65351.91,65351.91,65351.91,0,0,0,0
"V89RBFW+01",87315.42,87315.42,65486.56,65486.56,65486.56,0,0,0,0,0
"JFERZWH+01",87479.05,87479.05,65609.29,65609.29,65609.29,0,0,0,0,0
"RFE4EJE+01",87500.01,87500.01,65625.01,65625.01,65625.01,0,0,0,0,0
"4RQ5H3R+01",87892.06,87892.06,65919.04,65919.04,65919.04,65919.04,0,0,0,0
"RDZAPSM+01",87954.24,87954.24,65965.68,65965.68,65965.68,0,0,0,0,0
"MRWVTEA+01",88215.29,88215.29,66161.47,66161.47,66161.47,0,0,0,0,0
"HYNY8AQ+01",88255.14,88255.14,66191.35,66191.35,66191.35,0,0,0,0,0
"BUKXJFV+01",88425.7,88425.7,66319.28,66319.28,66319.28,0,9000.75,9000.75,0,0
"77FKEJ5+01",89031,89031,66773.25,66773.25,66773.25,66773.25,0,0,0,0
"VMZA2M9+01",89375,89375,67031.25,67031.25,67031.25,0,0,0,0,0
"WXWT2KH+01",89408.19,89408.19,67056.14,67056.14,67056.14,67056.14,0,0,0,0
"HDW7SWL+01",90000,90000,67500,67500,67500,0,0,0,0,0
"6PK5242+01",90000,90000,67500,67500,67500,0,0,0,0,0
"E45DLQJ+01",90000,90000,67500,67500,67500,0,0,0,0,0
"DLBNDAR+01",90666.67,90666.67,68000,68000,68000,0,0,0,0,0
"XB2Y4EJ+01",91575,91575,68681.25,68681.25,68681.25,0,0,0,0,0
"QWX6TTT+01",91726.12,91726.12,68794.59,68794.59,68794.59,0,0,0,0,0
"CS3QX3B+01",91726.32,91726.32,68794.74,68794.74,68794.74,0,0,0,0,0
"U78YLRH+01",91829.88,91829.88,68872.41,68872.41,68872.41,0,0,0,0,0
"A32KNW9+01",92500.03,92500.03,69375.02,69375.02,69375.02,0,0,0,0,0
"3CETTDE+01",92603.44,92603.44,69452.58,69452.58,69452.58,69452.58,0,0,0,0
"ULUANAU+01",92638.99,92638.99,69479.24,69479.24,69479.24,69479.24,0,0,0,0
"4Z9WEPW+01",92754,92754,69565.5,69565.5,69565.5,69565.5,0,0,0,0
"4DUPHA6+01",93000,93000,69750,69750,69750,0,0,0,0,0
"P9NPKL7+01",93126.93,93126.93,69845.2,69845.2,69845.2,0,0,0,0,0
"HS4LHFC+01",93450.01,93450.01,70087.51,70087.51,70087.51,0,0,0,0,0
"8SWCSFC+01",96666.68,96666.68,72500.01,72500.01,72500.01,0,0,0,0,0
"7Y8E6G7+01",96782.49,96782.49,72586.86,72586.86,72586.86,72586.86,0,0,0,0
"H6HKHH9+01",97162.67,97162.67,72872,72872,72872,0,0,0,0,0
"2QDNK5P+01",97588.99,97588.99,73191.74,73191.74,73191.74,0,0,0,0,0
"ZBJQV3E+01",97666.92,97666.92,73250.19,73250.19,73250.19,73250.19,0,0,0,0
"4SGBX9V+01",97999.88,97999.88,73499.91,73499.91,73499.91,73499.91,0,0,0,0
"MVGQGJ9+01",99866.72,99866.72,74900.04,74900.04,74900.04,0,0,0,0,0
"BZ8DTQE+01",100000,100000,75000,75000,75000,0,0,0,0,0
"D4KRYVF+01",100000,100000,75000,75000,75000,0,0,0,0,0
"UKXXZRE+01",101990.36,101990.36,76492.77,76492.77,76492.77,0,0,0,0,0
"LNSUE48+01",102367.68,102367.68,76775.76,76775.76,76775.76,0,0,0,0,0
"NN5LNSD+01",103716.74,103716.74,77787.55,77787.55,77787.55,77787.55,0,0,0,0
"ACKC775+01",103888.92,103888.92,77916.69,77916.69,77916.69,77916.69,0,0,0,0
"2QHYUEU+01",104722.23,104722.23,78541.67,78541.67,78541.67,0,0,0,0,0
"BW6L7CW+01",104927.96,104927.96,78695.97,78695.97,78695.97,0,0,0,0,0
"X8XGUC8+01",105416.66,105416.66,79062.5,79062.5,79062.5,0,0,0,0,0
"CL5T2J8+01",106666.68,106666.68,80000.01,80000.01,80000.01,0,0,0,0,0
"VPE6SMC+01",107194.45,107194.45,80395.83,80395.83,80395.83,0,0,0,0,0
"DNXECFM+01",108333.4,108333.4,81250.05,81250.05,81250.05,0,0,0,0,0
"FM5MN9W+01",108333.4,108333.4,81250.05,81250.05,81250.05,81250.05,0,0,0,0
"RH2VWAF+01",108724.74,108724.74,81543.55,81543.55,81543.55,81543.55,0,0,0,0
"9MLH53D+01",110000,110000,82500,82500,82500,0,0,0,0,0
"W6KYKGZ+01",110416.76,110416.76,82812.57,82812.57,82812.57,0,0,0,0,0
"BL32BXJ+01",110708,110708,83031,83031,83031,0,0,0,0,0
"ZCM6DG6+01",111000,111000,83250,83250,83250,0,0,0,0,0
"GW47UMQ+01",112000.04,112000.04,84000.03,84000.03,84000.03,0,0,0,0,0
"DWHTEE6+01",112500,112500,84375,84375,84375,0,0,0,0,0
"UG4LY7P+01",112614.43,112614.43,84460.82,84460.82,84460.82,0,0,0,0,0
"L7C67KL+01",113625,113625,85218.75,85218.75,85218.75,0,0,0,0,0
"5MYNCEY+01",113888.99,113888.99,85416.74,85416.74,85416.74,85416.74,0,0,0,0
"UR6LREB+01",116756.12,116756.12,87567.09,87567.09,87567.09,87567.09,0,0,0,0
"XBQKQJC+01",117401.39,117401.39,88051.04,88051.04,88051.04,0,0,0,0,0
"NLFKWJQ+01",117777.78,117777.78,88333.34,88333.34,88333.34,0,0,0,0,0
"9ZCKJZS+01",118125,118125,88593.75,88593.75,88593.75,0,0,0,0,0
"67RKM6Q+01",120000,120000,90000,90000,90000,0,0,0,0,0
"FGZ7N82+01",120000,120000,90000,90000,90000,0,0,0,0,0
"HTR7SAT+01",120000,120000,90000,90000,90000,0,0,0,0,0
"BM56HTZ+01",120065,120065,90048.75,90048.75,90048.75,0,0,0,0,0
"Z3ZXYV2+01",120615.7,120615.7,90461.78,90461.78,90461.78,0,0,0,0,0
"6DJF5ZP+01",120937.84,120937.84,90703.38,90703.38,90703.38,90703.38,0,0,0,0
"9XCUT4T+01",122222.23,122222.23,91666.67,91666.67,91666.67,91666.67,0,0,0,0
"Z79SAUN+01",122222.3,122222.3,91666.73,91666.73,91666.73,0,0,0,0,0
"R354LQF+01",122642.69,122642.69,91982.02,91982.02,91982.02,0,0,0,0,0
"N923AG7+01",125000,125000,93750,93750,93750,0,0,0,0,0
"J8WKRZX+01",126000,126000,94500,94500,94500,0,0,0,0,0
"N7QQJXM+01",126916,126916,95187,95187,95187,0,0,0,0,0
"A64465R+01",127125.68,127125.68,95344.26,95344.26,95344.26,95344.26,0,0,0,0
"3SA2TQ9+01",127836.78,127836.78,95877.59,95877.59,95877.59,0,0,0,0,0
"L5K6NL2+01",128333.4,128333.4,96250.05,96250.05,96250.05,96250.05,0,0,0,0
"89V7M6H+01",129489.07,129489.07,97116.8,97116.8,97116.8,0,0,0,0,0
"BKG42Q4+01",129629.7,129629.7,97222.27,97222.27,97222.27,97222.27,0,0,0,0
"FPRB7XP+01",131929.76,131929.76,98947.32,98947.32,98947.32,0,0,0,0,0
"TDN2GUF+01",132425.7,132425.7,99319.27,99319.27,99319.27,99319.27,0,0,0,0
"SP7CTYA+01",133000,133000,99750,99750,99750,0,0,0,0,0
"BV5BY3S+01",136666.68,136666.68,102500.01,102500.01,102500.01,102500.01,0,0,0,0
"HNKP5ND+01",136666.73,136666.73,102500.04,102500.04,102500.04,102500.04,0,0,0,0
"7AP5REP+01",137500,137500,103125,103125,103125,0,0,0,0,0
"UYHYX7X+01",138833.37,138833.37,104125.03,104125.03,104125.03,0,0,0,0,0
"7R2K7KR+01",138888.95,138888.95,104166.71,104166.71,104166.71,0,0,0,0,0
"HAYWA8Z+01",141666.76,141666.76,106250.07,106250.07,106250.07,0,0,0,0,0
"487NPDP+01",143750.01,143750.01,107812.5,107812.5,107812.5,0,0,0,0,0
"BEBZU3C+01",145000,145000,108750,108750,108750,0,0,0,0,0
"RN9EMJZ+01",145833.38,145833.38,109375.03,109375.03,109375.03,0,0,0,0,0
"C43N3UN+01",148611.12,148611.12,111458.34,111458.34,111458.34,0,0,0,0,0
"5APYFFM+01",149306.22,149306.22,111979.67,111979.67,111979.67,0,0,0,0,0
"4VYULJB+01",150000,150000,112500,112500,112500,0,0,0,0,0
"QEX7G9Z+01",151500,151500,113625,113625,113625,0,0,0,0,0
"LHLPL7L+01",151658.62,151658.62,113743.97,113743.97,113743.97,0,0,0,0,0
"5JZHHNS+01",152453.62,152453.62,114340.22,114340.22,114340.22,0,0,0,0,0
"LF3J2RZ+01",159076.58,159076.58,119307.43,119307.43,119307.43,0,0,0,0,0
"NMFA2FZ+01",160166.7,160166.7,120125.03,120125.03,120125.03,0,0,0,0,0
"SNH59XH+01",160524.32,160524.32,120393.24,120393.24,120393.24,0,0,0,0,0
"ZA45EWZ+01",160696.34,160696.34,120522.25,120522.25,120522.25,120522.25,0,0,0,0
"EL2PDZZ+01",162000,162000,121500,121500,121500,121500,0,0,0,0
"R5MNF8S+01",162154,162154,121615.5,121615.5,121615.5,0,0,0,0,0
"2QNX8NT+01",162301.69,162301.69,121726.27,121726.27,121726.27,0,0,0,0,0
"CF6HYLJ+01",162666.75,162666.75,122000.06,122000.06,122000.06,122000.06,0,0,0,0
"EL7XH5F+01",167166.66,167166.66,125375,125375,125375,0,0,0,0,0
"DM36TUB+01",168746.69,168746.69,126560.02,126560.02,126560.02,0,0,0,0,0
"H6R85JJ+01",170829,170829,128121.75,128121.75,128121.75,0,0,0,0,0
"53TVAR9+01",175000,175000,131250,131250,131250,0,0,0,0,0
"L2CU382+01",175000,175000,131250,131250,131250,0,0,0,0,0
"UPY67GE+01",175000.02,175000.02,131250.02,131250.02,131250.02,0,0,0,0,0
"AZXPMPJ+01",175000.04,175000.04,131250.03,131250.03,131250.03,131250.03,0,0,0,0
"8UVX22E+01",179166.76,179166.76,134375.07,134375.07,134375.07,0,0,0,0,0
"4G52SZT+01",179595.89,179595.89,134696.91,134696.91,134696.91,134696.91,0,0,0,0
"CMN6WPH+01",180555.7,180555.7,135416.78,135416.78,135416.78,0,0,0,0,0
"S8CXYVP+01",183333.36,183333.36,137500.02,137500.02,137500.02,137500.02,0,0,0,0
"VQX9VTG+01",185185.2,185185.2,138888.9,138888.9,138888.9,0,0,0,0,0
"6HPPBL4+01",186666.68,186666.68,140000.01,140000.01,140000.01,0,0,0,0,0
"SC46MXZ+01",189444.45,189444.45,142083.33,142083.33,142083.33,142083.33,0,0,0,0
"KSNMA84+01",190555.68,190555.68,142916.76,142916.76,142916.76,0,70153.94,70153.94,33023.95,33023.95
"RGGWL9Q+01",192872.46,192872.46,144654.35,144654.35,144654.35,0,0,0,0,0
"DTWXPBL+01",194444.45,194444.45,145833.33,145833.33,145833.33,145833.33,0,0,0,0
